
                                    #######################################################                                            
                                    #                        PDG data                     #                                            
                                    #      Default File name: data/pdg_hadrons.dat        #                                            
                                    #######################################################                                            


---------------------------------------------------------------------------------------------------------------------------------------
ID     PDGID          Name                isStable  mass(in GeV)  Spin Degeneracy     Baryon number(B)  Charge(Q)  Strangeness(S)      
276    13314          Ksi(1820)-          0         1.823         4                   1                 -1         -2            
277    13324          Ksi(1820)0          0         1.823         4                   1                 0          -2            
278    -13324         Ksi(1820)0b         0         1.823         4                   -1                0          2             
279    -13314         Ksi(1820)-b         0         1.823         4                   -1                1          2             
280    13126          Lambda(1830)        0         1.83          6                   1                 0          -1            
281    -13126         Lambda(1830)b       0         1.83          6                   -1                0          1             
282    337            phi3(1850)          0         1.854         7                   0                 0          0             
283    421            D0                  0         1.86484       1                   0                 0          0             
284    411            D+                  0         1.86962       1                   0                 1          0             
285    -411           D+b                 0         1.86962       1                   0                 -1         0             
286    1000010020     Deuteron            0         1.87561       3                   2                 1          0             
287    -1000010020    Deuteronb           0         1.87561       3                   -2                -1         0             
288    23124          Lambda(1890)        0         1.89          4                   1                 0          -1            
289    -23124         Lambda(1890)b       0         1.89          4                   -1                0          1             
290    9040225        f2(1910)            0         1.903         5                   0                 0          0             
291    1116           Delta(1905)-        0         1.905         6                   1                 -1         0             
292    1216           Delta(1905)0        0         1.905         6                   1                 0          0             
293    2126           Delta(1905)+        0         1.905         6                   1                 1          0             
294    2226           Delta(1905)++       0         1.905         6                   1                 2          0             
295    -2226          Delta(1905)++b      0         1.905         6                   -1                -2         0             
296    -2126          Delta(1905)+b       0         1.905         6                   -1                -1         0             
297    -1216          Delta(1905)0b       0         1.905         6                   -1                0          0             
298    -1116          Delta(1905)-b       0         1.905         6                   -1                1          0             
299    22122          Delta(1910)+        0         1.91          2                   1                 1          0             
300    22222          Delta(1910)++       0         1.91          2                   1                 2          0             
301    21112          Delta(1910)-        0         1.91          2                   1                 -1         0             
302    21212          Delta(1910)0        0         1.91          2                   1                 0          0             
303    -22222         Delta(1910)++b      0         1.91          2                   -1                -2         0             
304    -22122         Delta(1910)+b       0         1.91          2                   -1                -1         0             
305    -21212         Delta(1910)0b       0         1.91          2                   -1                0          0             
306    -21112         Delta(1910)-b       0         1.91          2                   -1                1          0             
307    13216          Sigma(1915)0        0         1.915         6                   1                 0          -1            
308    13116          Sigma(1915)-        0         1.915         6                   1                 -1         -1            
309    13226          Sigma(1915)+        0         1.915         6                   1                 1          -1            
310    -13226         Sigma(1915)+b       0         1.915         6                   -1                -1         1             
311    -13216         Sigma(1915)0b       0         1.915         6                   -1                0          1             
312    -13116         Sigma(1915)-b       0         1.915         6                   -1                1          1             
313    22114          Delta(1920)0        0         1.92          4                   1                 0          0             
314    22214          Delta(1920)+        0         1.92          4                   1                 1          0             
315    22224          Delta(1920)++       0         1.92          4                   1                 2          0             
316    21114          Delta(1920)-        0         1.92          4                   1                 -1         0             
317    -22224         Delta(1920)++b      0         1.92          4                   -1                -2         0             
318    -22214         Delta(1920)+b       0         1.92          4                   -1                -1         0             
319    -22114         Delta(1920)0b       0         1.92          4                   -1                0          0             
320    -21114         Delta(1920)-b       0         1.92          4                   -1                1          0             
321    12126          Delta(1930)+        0         1.93          6                   1                 1          0             
322    11116          Delta(1930)-        0         1.93          6                   1                 -1         0             
323    11216          Delta(1930)0        0         1.93          6                   1                 0          0             
324    12226          Delta(1930)++       0         1.93          6                   1                 2          0             
325    -12226         Delta(1930)++b      0         1.93          6                   -1                -2         0             
326    -12126         Delta(1930)+b       0         1.93          6                   -1                -1         0             
327    -11216         Delta(1930)0b       0         1.93          6                   -1                0          0             
328    -11116         Delta(1930)-b       0         1.93          6                   -1                1          0             
329    23214          Sigma(1940)0        0         1.94          4                   1                 0          -1            
330    23114          Sigma(1940)-        0         1.94          4                   1                 -1         -1            
331    23224          Sigma(1940)+        0         1.94          4                   1                 1          -1            
332    -23224         Sigma(1940)+b       0         1.94          4                   -1                -1         1             
333    -23214         Sigma(1940)0b       0         1.94          4                   -1                0          1             
334    -23114         Sigma(1940)-b       0         1.94          4                   -1                1          1             
335    2118           Delta(1950)0        0         1.95          8                   1                 0          0             
336    2218           Delta(1950)+        0         1.95          8                   1                 1          0             
337    2228           Delta(1950)++       0         1.95          8                   1                 2          0             
338    33324          Ksi(1950)0          0         1.95          4                   1                 0          -2            
339    1118           Delta(1950)-        0         1.95          8                   1                 -1         0             
340    33314          Ksi(1950)-          0         1.95          4                   1                 -1         -2            
341    -33324         Ksi(1950)0b         0         1.95          4                   -1                0          2             
342    -33314         Ksi(1950)-b         0         1.95          4                   -1                1          2             
343    -2228          Delta(1950)++b      0         1.95          8                   -1                -2         0             
344    -2218          Delta(1950)+b       0         1.95          8                   -1                -1         0             
